Early Voting Locations,Total,04/19/21,04/20/21,04/21/21,04/22/21,04/23/21,04/24/21,04/26/21,04/27/21,*05/01/21
St. Hedwig City Hall,225,0,0,0,0,0,0,0,0,225
St. James Catholic Church,77,0,0,0,0,0,0,0,0,77
St. Leo the Great Catholic Church,107,0,0,0,0,0,0,0,0,107
St. Leonard Catholic Church,216,0,0,0,0,0,0,0,0,216
St. Mark the Evangelist Catholic Church,0,0,0,0,0,0,0,0,0,0
St. Mary's University,1619,76,94,86,105,116,147,280,505,210
St. Paul Community Center,0,0,0,0,0,0,0,0,0,0
St. Philip of Jesus Catholic Church,0,0,0,0,0,0,0,0,0,0
Stafford Elementary Visual Performing Arts School,72,0,0,0,0,0,0,0,0,72
Stahl Elementary School,308,0,0,0,0,0,0,0,0,308
Steubing Ranch Elementary School,187,0,0,0,0,0,0,0,0,187
Stevenson Middle School,244,0,0,0,0,0,0,0,0,244
Stone Oak Elementary School,200,0,0,0,0,0,0,0,0,200
Sul Ross Middle School,0,0,0,0,0,0,0,0,0,0
Sydney Lanier High School,52,0,0,0,0,0,0,0,0,52
Taft High School,0,0,0,0,0,0,0,0,0,0
Takas Park,98,0,0,0,0,0,0,0,0,98
Tejeda Middle School,216,0,0,0,0,0,0,0,0,216
Terrell Hills City Hall,392,0,0,0,0,0,0,0,0,392
Texas A&M University San Antonio,0,0,0,0,0,0,0,0,0,0
Thomas Edison High School,157,0,0,0,0,0,0,0,0,157
Thornton Elementary School,209,0,0,0,0,0,0,0,0,209
Thousand Oaks Elementary School,358,0,0,0,0,0,0,0,0,358
Thousand Oaks Library,315,0,0,0,0,0,0,0,0,315
Timberhill Villa Retirement,0,0,0,0,0,0,0,0,0,0
Timberwood Park Elementary School,0,0,0,0,0,0,0,0,0,0
Tobin Branch Library @ Oakwell,5890,389,419,507,571,595,604,924,1107,774
Travis Early College High School,0,0,0,0,0,0,0,0,0,0
Trinity United Methodist Church,97,0,0,0,0,0,0,0,0,97
Tuscany Heights Elementary School,298,0,0,0,0,0,0,0,0,298
Universal City Hall,0,0,0,0,0,0,0,0,0,0
Universal City Library,755,40,48,48,54,59,65,123,209,109
University of Texas at San Antonio,2142,81,81,82,87,108,177,176,452,203
Vale Middle School,140,0,0,0,0,0,0,0,0,140
Valley Hi Elementary School,0,0,0,0,0,0,0,0,0,0
Van Raub Elementary School,0,0,0,0,0,0,0,0,0,0
Veterans Memorial High School,0,0,0,0,0,0,0,0,0,0
Vestal Elementary School,69,0,0,0,0,0,0,0,0,69
Villarreal Elementary School,126,0,0,0,0,0,0,0,0,126
Vineyard Ranch Elementary School,406,0,0,0,0,0,0,0,0,406
Von Ormy Municipal Building,35,0,0,0,0,0,0,0,0,35
Wanke Elementary School,183,0,0,0,0,0,0,0,0,183
Ward Elementary School,0,0,0,0,0,0,0,0,0,0
Westfall Branch Library,237,0,0,0,0,0,0,0,0,237
Westminster Square Manor,150,0,0,0,0,0,0,0,0,150
Westwood Terrace Elementary School,112,0,0,0,0,0,0,0,0,112
Wetmore Elementary School,520,0,0,0,0,0,0,0,0,520
Wilshire Elementary School,79,0,0,0,0,0,0,0,0,79
Windcrest Takas Park,891,61,69,87,62,96,71,164,281,0
Wonderland Mall of the Americas,5541,368,473,529,501,606,638,995,1431,0
Wood Middle School,124,0,0,0,0,0,0,0,0,124
Woodlake Elementary School,0,0,0,0,0,0,0,0,0,0
Woodlake Hills Middle School,55,0,0,0,0,0,0,0,0,55
Woodlawn Academy,234,0,0,0,0,0,0,0,0,234
Woodlawn Hills Elementary School,80,0,0,0,0,0,0,0,0,80
Woodridge Elementary School,0,0,0,0,0,0,0,0,0,0
Woods of Shavano Community Club,361,0,0,0,0,0,0,0,0,361
Woodstone Elementary Science Academy,128,0,0,0,0,0,0,0,0,128
Wortham Oaks Elementary School,0,0,0,0,0,0,0,0,0,0
Wright Elementary School,91,0,0,0,0,0,0,0,0,91
Young Men's Leadership Academy,82,0,0,0,0,0,0,0,0,82
Young Women's Leadership Academy,239,0,0,0,0,0,0,0,0,239
Zachry Middle School,0,0,0,0,0,0,0,0,0,0
Total in Person,151502,13291,15181,14600,15905,15991,15318,20989,25077,15150
